zona,data,faixa_horaria,tipo_ocorrencia,clima,evento_especial,denuncias_app_ultimas_24h,anomalias_cameras_ultimas_24h,risco_ocorrencia,viaturas_recomendadas,dia_da_semana,final_de_semana,mes,semana_do_mes,feriado,media_3dias,media_7dias,media_7dias_anterior,crescimento_percentual,diaria_avg,mensal_avg,media_movel_7dias,media_risco_por_zona_ocorrencia,media_risco_por_zona,media_risco_por_ocorrencia
Arniqueira,2025-06-21,12-18h,Furto,Nublado,Não,24,15,0,0,5,1,6,3,0,45.0,45.0,90.0,-49.999999444444455,45.0,45.0,45.0,48.03125,49.51291512915129,49.102742371572035
Arniqueira,2025-06-22,00-06h,Furto,Chuva,Sim,14,7,16,0,6,1,6,4,0,35.333333333333336,35.333333333333336,45.0,-21.48148100411523,16.0,16.0,35.333333333333336,48.03125,49.51291512915129,49.102742371572035
Arniqueira,2025-06-23,18-23h,Furto,Chuva,Não,13,12,98,3,0,0,6,4,0,38.0,51.0,35.333333333333336,44.33962138661448,59.0,59.0,51.0,48.03125,49.51291512915129,49.102742371572035
Arniqueira,2025-06-23,12-18h,Furto,Céu limpo,Sim,23,3,26,1,0,0,6,4,0,46.666666666666664,46.0,51.0,-9.8039213763937,59.0,59.0,46.0,48.03125,49.51291512915129,49.102742371572035
Arniqueira,2025-06-23,00-06h,Furto,Nublado,Não,1,12,51,1,0,0,6,4,0,58.333333333333336,46.833333333333336,46.0,1.811594163516074,59.0,59.0,46.833333333333336,48.03125,49.51291512915129,49.102742371572035
Arniqueira,2025-06-23,00-06h,Furto,Chuva,Sim,27,9,67,2,0,0,6,4,0,48.0,49.714285714285715,46.833333333333336,6.151499614457046,59.0,59.0,49.714285714285715,48.03125,49.51291512915129,49.102742371572035
Arniqueira,2025-06-23,18-23h,Furto,Nublado,Não,12,7,43,1,0,0,6,4,0,53.666666666666664,43.0,49.714285714285715,-13.505746854769463,59.0,59.0,43.0,48.03125,49.51291512915129,49.102742371572035
Arniqueira,2025-06-23,00-06h,Furto,Nublado,Sim,15,14,69,2,0,0,6,4,0,59.666666666666664,52.857142857142854,43.0,22.923587506760416,59.0,59.0,52.857142857142854,48.03125,49.51291512915129,49.102742371572035
Arniqueira,2025-06-24,06-12h,Furto,Céu limpo,Não,10,6,63,2,1,0,6,4,0,58.333333333333336,59.57142857142857,52.857142857142854,12.702702462381307,63.0,63.0,59.57142857142857,48.03125,49.51291512915129,49.102742371572035
Arniqueira,2025-06-25,06-12h,Furto,Chuva,Sim,20,14,2,0,2,0,6,4,0,44.666666666666664,45.857142857142854,59.57142857142857,-23.02158234735953,23.0,23.0,45.857142857142854,48.03125,49.51291512915129,49.102742371572035
Arniqueira,2025-06-25,06-12h,Furto,Céu limpo,Sim,3,0,44,1,2,0,6,4,0,36.333333333333336,48.42857142857143,45.857142857142854,5.607476513232611,23.0,23.0,48.42857142857143,48.03125,49.51291512915129,49.102742371572035
Arniqueira,2025-06-26,00-06h,Furto,Chuva,Não,3,12,93,2,3,0,6,4,0,46.333333333333336,54.42857142857143,48.42857142857143,12.38938027514554,59.5,59.5,54.42857142857143,48.03125,49.51291512915129,49.102742371572035
Arniqueira,2025-06-26,00-06h,Furto,Chuva,Não,30,5,26,1,3,0,6,4,0,54.333333333333336,48.57142857142857,54.42857142857143,-10.761154657931549,59.5,59.5,48.57142857142857,48.03125,49.51291512915129,49.102742371572035
