zona,data,faixa_horaria,tipo_ocorrencia,clima,evento_especial,denuncias_app_ultimas_24h,anomalias_cameras_ultimas_24h,risco_ocorrencia,volume_estimado
Arniqueira,2025-06-24,00-06h,Roubo,Chuva,Não,3,15,69,6
Sol Nascente/Pôr do Sol,2025-07-07,18-23h,Todos,Nublado,Não,25,14,55,3
Itapoã,2025-07-18,12-18h,Furto,Chuva,Sim,19,9,77,0
Riacho Fundo,2025-07-20,12-18h,Todos,Céu limpo,Sim,5,5,65,7
Candangolândia,2025-06-23,18-23h,Roubo,Nublado,Sim,9,5,83,9
Sol Nascente/Pôr do Sol,2025-07-15,00-06h,Roubo,Chuva,Não,23,10,94,4
Candangolândia,2025-07-17,18-23h,Roubo,Céu limpo,Sim,4,10,55,1
Itapoã,2025-06-25,00-06h,Vandalismo,Céu limpo,Não,26,12,53,10
Planaltina,2025-06-24,00-06h,Vandalismo,Nublado,Não,8,8,40,6
Varjão,2025-06-24,00-06h,Todos,Céu limpo,Não,1,15,29,4
Vicente Pires,2025-07-03,12-18h,Roubo,Chuva,Não,29,4,22,1
Guará,2025-07-14,12-18h,Todos,Nublado,Sim,29,9,44,6
Sudoeste/Octogonal,2025-07-04,06-12h,Roubo,Céu limpo,Não,17,5,70,3
Riacho Fundo II,2025-07-19,18-23h,Vandalismo,Nublado,Não,6,14,81,2
Riacho Fundo II,2025-07-11,12-18h,Furto,Chuva,Sim,14,11,13,9
Sobradinho II,2025-07-12,06-12h,Furto,Nublado,Sim,14,10,81,9
Núcleo Bandeirante,2025-06-27,12-18h,Vandalismo,Chuva,Sim,12,2,50,7
Guará,2025-07-02,18-23h,Furto,Nublado,Não,27,8,60,1
Park Way,2025-07-02,00-06h,Roubo,Nublado,Não,27,10,90,2
Lago Sul,2025-07-02,12-18h,Roubo,Chuva,Sim,11,2,74,10
Sobradinho,2025-07-05,18-23h,Roubo,Chuva,Sim,14,10,93,6
Fercal,2025-06-28,12-18h,Todos,Nublado,Sim,8,5,28,7
Park Way,2025-06-21,18-23h,Roubo,Céu limpo,Sim,17,2,76,3
Águas Claras,2025-07-11,00-06h,Vandalismo,Céu limpo,Não,26,2,5,4
São Sebastião,2025-07-15,12-18h,Vandalismo,Nublado,Sim,9,2,6,9
Samambaia,2025-07-12,12-18h,Roubo,Nublado,Sim,17,4,76,4
São Sebastião,2025-07-12,18-23h,Roubo,Nublado,Não,11,12,61,5
Recanto das Emas,2025-06-30,00-06h,Todos,Céu limpo,Não,6,12,93,0
Arniqueira,2025-07-11,06-12h,Todos,Céu limpo,Sim,25,9,41,5
Cruzeiro,2025-07-13,00-06h,Roubo,Chuva,Não,19,6,63,0
Park Way,2025-07-07,00-06h,Furto,Chuva,Não,9,2,97,8
Candangolândia,2025-07-18,06-12h,Roubo,Chuva,Sim,8,10,81,8
Sudoeste/Octogonal,2025-06-25,06-12h,Furto,Nublado,Sim,18,1,32,2
Gama,2025-07-04,06-12h,Vandalismo,Nublado,Não,11,1,9,7
Riacho Fundo,2025-07-07,06-12h,Furto,Céu limpo,Sim,24,5,52,10
Park Way,2025-07-05,18-23h,Roubo,Céu limpo,Sim,27,7,71,5
Ceilândia,2025-07-06,12-18h,Vandalismo,Nublado,Não,0,10,3,5
Lago Norte,2025-06-29,06-12h,Todos,Chuva,Sim,1,12,64,3
Sudoeste/Octogonal,2025-06-29,00-06h,Vandalismo,Nublado,Sim,9,1,61,7
Planaltina,2025-07-03,00-06h,Vandalismo,Nublado,Sim,27,6,36,7
Arniqueira,2025-07-06,00-06h,Furto,Céu limpo,Não,23,15,81,9
Lago Norte,2025-07-02,06-12h,Vandalismo,Chuva,Não,28,1,34,4
Lago Sul,2025-07-12,00-06h,Furto,Chuva,Sim,16,3,56,1
Arniqueira,2025-07-13,00-06h,Todos,Chuva,Sim,15,3,22,2
Sobradinho II,2025-07-15,00-06h,Furto,Chuva,Não,24,7,88,10
Brazlândia,2025-06-29,00-06h,Todos,Chuva,Não,2,6,6,0
SIA,2025-06-21,06-12h,Roubo,Céu limpo,Não,7,1,48,1
Lago Sul,2025-06-22,12-18h,Todos,Nublado,Sim,23,0,62,8
Águas Claras,2025-07-12,06-12h,Vandalismo,Céu limpo,Não,10,8,91,0
Gama,2025-06-29,18-23h,Vandalismo,Chuva,Sim,0,15,18,0
Cruzeiro,2025-07-15,12-18h,Furto,Céu limpo,Não,30,5,32,1
Recanto das Emas,2025-07-18,18-23h,Furto,Chuva,Sim,25,5,70,1
Jardim Botânico,2025-07-20,00-06h,Todos,Nublado,Não,28,12,24,5
Arniqueira,2025-07-16,12-18h,Vandalismo,Céu limpo,Não,28,6,27,10
Cruzeiro,2025-07-19,18-23h,Vandalismo,Chuva,Não,10,15,96,4
Taguatinga,2025-07-03,00-06h,Roubo,Nublado,Sim,5,13,70,0
SCIA/Estrutural,2025-07-18,12-18h,Furto,Chuva,Não,22,4,1,3
Planaltina,2025-07-09,00-06h,Vandalismo,Céu limpo,Não,25,8,84,5
Riacho Fundo,2025-07-10,12-18h,Roubo,Chuva,Sim,12,14,4,3
SCIA/Estrutural,2025-07-18,12-18h,Vandalismo,Céu limpo,Não,6,13,34,4
Jardim Botânico,2025-07-12,12-18h,Roubo,Nublado,Sim,28,5,40,1
Gama,2025-07-10,12-18h,Vandalismo,Céu limpo,Não,6,9,0,3
Plano Piloto,2025-07-12,18-23h,Roubo,Chuva,Sim,22,3,77,9
Sudoeste/Octogonal,2025-07-10,06-12h,Furto,Nublado,Não,28,4,36,1
Cruzeiro,2025-07-19,12-18h,Furto,Céu limpo,Não,20,0,75,3
Recanto das Emas,2025-06-28,12-18h,Vandalismo,Chuva,Sim,0,12,21,0
Riacho Fundo II,2025-07-11,00-06h,Todos,Céu limpo,Sim,20,3,5,0
SCIA/Estrutural,2025-07-11,18-23h,Roubo,Céu limpo,Sim,23,1,58,6
Asa Sul,2025-07-12,18-23h,Furto,Nublado,Sim,19,8,47,2
Guará,2025-06-24,12-18h,Todos,Chuva,Sim,22,9,75,8
Lago Norte,2025-07-18,18-23h,Todos,Nublado,Não,1,7,5,1
Park Way,2025-07-16,12-18h,Roubo,Chuva,Não,12,5,80,1
Itapoã,2025-07-11,12-18h,Furto,Nublado,Sim,14,11,22,5
Planaltina,2025-07-02,18-23h,Todos,Chuva,Não,16,13,45,10
Águas Claras,2025-07-18,00-06h,Furto,Céu limpo,Sim,26,15,10,3
Candangolândia,2025-07-14,12-18h,Furto,Chuva,Não,29,6,30,6
Sol Nascente/Pôr do Sol,2025-07-09,18-23h,Todos,Céu limpo,Sim,29,13,96,7
Riacho Fundo II,2025-06-26,06-12h,Furto,Chuva,Sim,13,7,83,8
Riacho Fundo,2025-07-12,06-12h,Todos,Céu limpo,Sim,7,1,19,4
Brazlândia,2025-07-10,18-23h,Furto,Céu limpo,Sim,12,7,96,9
Candangolândia,2025-07-13,06-12h,Roubo,Céu limpo,Sim,20,12,74,10
Arniqueira,2025-07-16,06-12h,Roubo,Céu limpo,Sim,6,6,65,10
SIA,2025-07-13,18-23h,Furto,Chuva,Sim,21,4,87,0
Lago Sul,2025-07-16,12-18h,Vandalismo,Céu limpo,Não,27,3,53,2
Asa Sul,2025-07-10,06-12h,Roubo,Chuva,Não,7,4,13,10
Cruzeiro,2025-06-21,12-18h,Vandalismo,Chuva,Não,2,13,69,6
Sol Nascente/Pôr do Sol,2025-06-22,00-06h,Todos,Céu limpo,Sim,15,15,87,5
